Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
       74    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1542(_register)
    36/32    0.000    0.000    0.010    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:672(format)
        4    0.000    0.000    0.009    0.002 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:1268(addObjects)
       24    0.000    0.000    0.005    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:839(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method reportlab.lib._rl_accel.sameFrag}
      791    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
    16/14    0.000    0.000    0.026    0.002 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\babel\localedata.py:98(load)
      166    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:657(destroy)
     2081    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      646    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       24    0.000    0.000    0.008    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\gettext.py:542(find)
        4    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:351(makeStream)
        2    0.000    0.000    0.028    0.014 I:\##VISHESH##\pp python project\bill_generator_with_changes.py:516(billf)
      310    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
